feature,anova_F,anova_p,kruskal_H,kruskal_p,anova_p_holm,kruskal_p_holm
gunning_fog,1.1266714250385697,0.3281098749711415,2.5129587324955254,0.28465442843050504,1.0,1.0
flesch_kincaid_grade,1.0723465194137525,0.34603051804742635,1.5918059299191896,0.4511736569330611,1.0,1.0
flesch_reading_ease,1.06097695199609,0.34990567524352184,2.934586060839422,0.23054872965218393,1.0,1.0
fw_once,1.0094320927290186,0.36803683667303716,0.9687661226957061,0.616077161358358,1.0,1.0
fw_having,1.0000000000000007,0.37145692191346014,2.0000000000006826,0.3678794411713169,1.0,1.0
punct_exclamation,1.0000000000000004,0.3714569219134602,2.0000000000006826,0.3678794411713169,1.0,1.0
fw_ourselves,1.0,0.3714569219134603,2.0000000000006826,0.3678794411713169,1.0,1.0
fw_myself,0.9999999999999984,0.371456921913461,2.0000000000006826,0.3678794411713169,1.0,1.0
fw_themselves,0.9899821901628334,0.3751248884710086,2.0006152040754603,0.3677662981081095,1.0,1.0
fw_who,0.9729574262987062,0.38144334102648536,2.668001511237119,0.2634212662083701,1.0,1.0
fw_should,0.9557131156699896,0.3879539397176933,1.8863687320102733,0.3893859117780053,1.0,1.0
fw_off,0.9286323010504716,0.39840784634246273,1.874557836460571,0.3916922131127634,1.0,1.0
fw_with,0.9042473424501983,0.40806673647417085,3.0421471286388195,0.2184772116661983,1.0,1.0
fw_itself,0.9022586317912551,0.408864920058219,1.2339370875649927,0.5395776668854924,1.0,1.0
fw_over,0.8927401471031975,0.41270733411370397,0.9473470319847594,0.6227105244109752,1.0,1.0
fw_could,0.86205900457514,0.4253451438837008,1.6593578577928594,0.43618931162494234,1.0,1.0
fw_you,0.8583612010047479,0.4268947135596353,2.102865530343559,0.34943672949937155,1.0,1.0
fw_before,0.8337187068780837,0.43736923994289634,2.1490048075384593,0.3414676260376159,1.0,1.0
fw_him,0.7911062763973726,0.4561045483693819,1.479535436390839,0.47722475327462033,1.0,1.0
fw_we,0.7034976595619784,0.4972363691681648,0.9868020496709327,0.6105463757051447,1.0,1.0
fw_these,0.6968540091054928,0.5005057966409043,1.6369688606228163,0.4410996654521697,1.0,1.0
word_length_std,0.6666490747552297,0.5156486754384887,2.251772116372245,0.32436493378655135,1.0,1.0
fw_no,0.6174676826714763,0.5413118809749395,1.6363691660771813,0.4412319478151582,1.0,1.0
fw_he,0.6080469668677172,0.5463744101819356,0.5954782690932181,0.7424950057826112,1.0,1.0
fw_or,0.5760345375231244,0.5639409501500736,0.7807405057618342,0.6768062386420242,1.0,1.0
pos_propn_ratio,0.5636781193811207,0.5708745168801319,0.45883651738879916,0.7949959499888735,1.0,1.0
fw_your,0.5302563609116292,0.5900672686353966,1.9632727637787573,0.3746974487862161,1.0,1.0
fw_how,0.47950968254081483,0.6204752873433028,2.9871521764346527,0.22456814240379902,1.0,1.0
fw_from,0.4658904106840041,0.6289048516775512,0.41209918229559556,0.813792718367258,1.0,1.0
pos_adp_ratio,0.4392729008597479,0.6457183102278311,0.44254663697623126,0.8014975862418323,1.0,1.0
fw_by,0.43589916271554774,0.6478818786710946,1.8323599487135558,0.4000443054604871,1.0,1.0
punct_question,0.4250060626209139,0.6549181872790046,1.5176928236083853,0.4682062327766008,1.0,1.0
fw_i,0.4185808386084235,0.6591049928366246,0.07037070923331495,0.9654264534221,1.0,1.0
fw_there,0.40694303384600555,0.6667580358030497,0.6938461868314102,0.7068596883316042,1.0,1.0
fw_did,0.3785650789993009,0.6858015502666487,0.8153856105640568,0.6651831882013133,1.0,1.0
fw_her,0.3762936290585643,0.6873496151019906,0.7173189778964312,0.698612196028564,1.0,1.0
fw_so,0.3382876018619607,0.7137870627750721,0.5212809707038624,0.7705578966744804,1.0,1.0
pos_intj_ratio,0.33492748832862396,0.7161737235261803,0.5912866144617402,0.7440527789390878,1.0,1.0
fw_if,0.32284893519716307,0.7248204205625342,0.7766058554758466,0.678206864471764,1.0,1.0
fw_all,0.30874565920153024,0.7350513883956575,0.2628153517739107,0.8768602267435448,1.0,1.0
pos_cconj_ratio,0.2828374092770647,0.7542314368654526,0.7087270031673186,0.7016198810581749,1.0,1.0
fw_their,0.21493953237971686,0.8069546003874194,0.22818690036946424,0.8921745781074973,1.0,1.0
smog_index,0.21015475581022444,0.8108088484601649,0.16471565800910465,0.9209423598419783,1.0,1.0
fw_when,0.19674069454747203,0.8217145654170874,1.1686421931347664,0.5574842113109437,1.0,1.0
fw_nor,0.17508605364677313,0.8396365164748945,0.0007396673278022256,0.9996302347161383,1.0,1.0
fw_only,0.17407818796799565,0.8404802940370703,1.0011474254308226,0.6061827851604384,1.0,1.0
fw_and,0.14924303611119683,0.86154749521272,0.1566666148288241,0.9246561804153186,1.0,1.0
fw_will,0.11097238155030473,0.8950713686396042,0.2127985454153102,0.8990656040443663,1.0,1.0
fw_below,0.001489625023811371,0.9985115056387682,0.002352054278149093,0.9988246641098389,1.0,1.0
max_dep_depth,,,inf,0.0,1.0,0.0
mean_dep_depth,,,inf,0.0,1.0,0.0
fw_hers,,,inf,0.0,1.0,0.0
fw_himself,,,inf,0.0,1.0,0.0
fw_ours,,,inf,0.0,1.0,0.0
fw_theirs,,,inf,0.0,1.0,0.0
fw_yours,,,inf,0.0,1.0,0.0
fw_yourselves,,,inf,0.0,1.0,0.0
